Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-05-04,D,Starteck Finance Ord Shs,152.95,163.2,140.0,163.2,18107,0
2022-05-05,D,Starteck Finance Ord Shs,183.4,195.8,178.0,195.8,148606,0
2022-05-06,D,Starteck Finance Ord Shs,193.9,193.9,176.25,176.25,77060,0
2022-05-09,D,Starteck Finance Ord Shs,162.95,169.25,158.65,158.65,10565,0
2022-05-10,D,Starteck Finance Ord Shs,146.35,152.15,142.8,142.8,54282,0
2022-05-11,D,Starteck Finance Ord Shs,140.05,140.8,135.7,135.7,7111,0
2022-05-12,D,Starteck Finance Ord Shs,128.95,131.6,128.95,128.95,11040,1
2022-05-13,D,Starteck Finance Ord Shs,127.1,129.95,122.55,122.55,21259,0
2022-05-16,D,Starteck Finance Ord Shs,121.05,124.8,120.0,120.45,18173,0
2022-05-17,D,Starteck Finance Ord Shs,116.3,126.45,116.3,126.45,3437,0
2022-05-18,D,Starteck Finance Ord Shs,130.0,132.75,125.0,130.8,6147,0
2022-05-19,D,Starteck Finance Ord Shs,125.15,129.65,124.3,124.4,13748,0
2022-05-20,D,Starteck Finance Ord Shs,123.0,130.2,123.0,125.35,3632,0
2022-05-23,D,Starteck Finance Ord Shs,122.85,126.5,122.85,123.55,3011,0
2022-05-24,D,Starteck Finance Ord Shs,121.2,129.4,121.2,123.8,3836,0
2022-05-25,D,Starteck Finance Ord Shs,122.2,128.5,122.2,123.35,11727,0
2022-05-26,D,Starteck Finance Ord Shs,124.1,127.4,122.2,123.2,11658,0
2022-05-27,D,Starteck Finance Ord Shs,123.2,129.0,123.0,128.2,19474,0
2022-05-30,D,Starteck Finance Ord Shs,125.65,134.6,125.65,134.25,16598,0
2022-05-31,D,Starteck Finance Ord Shs,140.0,140.0,128.05,129.05,16005,0
2022-06-01,D,Starteck Finance Ord Shs,129.9,132.7,125.3,127.55,22433,0
2022-06-02,D,Starteck Finance Ord Shs,128.25,133.8,125.0,129.6,13060,0
2022-06-03,D,Starteck Finance Ord Shs,127.05,132.7,125.75,126.4,11343,0
2022-06-06,D,Starteck Finance Ord Shs,130.2,132.5,120.2,128.95,12963,0
2022-06-07,D,Starteck Finance Ord Shs,133.2,133.2,124.0,124.1,23354,0
2022-06-08,D,Starteck Finance Ord Shs,124.0,129.95,123.05,123.95,11534,0
2022-06-09,D,Starteck Finance Ord Shs,129.0,129.0,123.0,123.95,12520,0
2022-06-10,D,Starteck Finance Ord Shs,125.9,128.2,123.0,123.45,11795,0
2022-06-13,D,Starteck Finance Ord Shs,135.0,135.75,122.0,126.8,38307,0
2022-06-14,D,Starteck Finance Ord Shs,127.95,129.0,122.55,123.05,29436,0
2022-06-15,D,Starteck Finance Ord Shs,122.0,127.0,120.05,122.2,12369,0
2022-06-16,D,Starteck Finance Ord Shs,124.55,126.5,122.4,122.5,13590,0
2022-06-17,D,Starteck Finance Ord Shs,120.8,134.75,120.55,133.55,17025,0
2022-06-20,D,Starteck Finance Ord Shs,130.9,139.8,123.6,132.45,12550,0
2022-06-21,D,Starteck Finance Ord Shs,144.9,144.9,122.0,127.9,13170,0
2022-06-22,D,Starteck Finance Ord Shs,123.85,130.6,123.55,127.05,11533,0
2022-06-23,D,Starteck Finance Ord Shs,128.85,129.4,122.05,124.25,11101,0
2022-06-24,D,Starteck Finance Ord Shs,122.1,127.4,122.1,125.25,42877,0
2022-06-27,D,Starteck Finance Ord Shs,122.75,129.9,122.75,127.05,26324,0
2022-06-28,D,Starteck Finance Ord Shs,129.5,129.9,123.8,125.85,11842,0
2022-06-29,D,Starteck Finance Ord Shs,123.0,129.95,123.0,125.55,26339,0
2022-06-30,D,Starteck Finance Ord Shs,124.75,133.05,124.75,129.75,11083,0
2022-07-01,D,Starteck Finance Ord Shs,125.0,134.25,124.0,127.5,15180,0
2022-07-04,D,Starteck Finance Ord Shs,124.0,131.25,124.0,126.85,11326,0
2022-07-05,D,Starteck Finance Ord Shs,115.0,131.7,115.0,126.5,11513,0
2022-07-06,D,Starteck Finance Ord Shs,118.0,129.1,118.0,123.25,31168,0
2022-07-07,D,Starteck Finance Ord Shs,131.25,131.35,124.1,129.35,17306,0
2022-07-08,D,Starteck Finance Ord Shs,139.0,139.0,126.0,126.75,12555,0
2022-07-11,D,Starteck Finance Ord Shs,128.0,131.0,124.1,124.3,12096,0
2022-07-12,D,Starteck Finance Ord Shs,124.3,129.9,122.3,129.85,14004,0
2022-07-13,D,Starteck Finance Ord Shs,127.55,129.9,125.8,125.95,12599,0
2022-07-14,D,Starteck Finance Ord Shs,123.0,131.25,123.0,128.85,11126,0
2022-07-15,D,Starteck Finance Ord Shs,128.05,141.7,125.95,137.2,14963,0
2022-07-18,D,Starteck Finance Ord Shs,147.0,147.0,130.65,131.6,12798,0
2022-07-19,D,Starteck Finance Ord Shs,131.45,137.45,126.35,128.7,15557,0
2022-07-20,D,Starteck Finance Ord Shs,126.15,137.95,126.15,136.25,13784,0
2022-07-21,D,Starteck Finance Ord Shs,139.4,139.4,133.0,137.35,13341,0
2022-07-22,D,Starteck Finance Ord Shs,139.0,139.0,134.0,137.9,11273,0
2022-07-25,D,Starteck Finance Ord Shs,141.2,141.35,129.05,129.7,16284,0
2022-07-26,D,Starteck Finance Ord Shs,134.25,134.25,125.9,131.7,19173,0
2022-07-27,D,Starteck Finance Ord Shs,129.1,137.9,127.0,130.75,12892,0
2022-07-28,D,Starteck Finance Ord Shs,133.55,136.05,126.5,128.5,17032,0
2022-07-29,D,Starteck Finance Ord Shs,140.0,141.0,126.0,130.45,19484,0
2022-08-01,D,Starteck Finance Ord Shs,132.1,136.5,128.15,132.2,12793,0
2022-08-02,D,Starteck Finance Ord Shs,134.85,137.7,130.25,136.6,14500,0
2022-08-03,D,Starteck Finance Ord Shs,140.0,144.0,130.05,133.0,13740,0
2022-08-04,D,Starteck Finance Ord Shs,137.05,138.0,130.05,135.15,13835,0
2022-08-05,D,Starteck Finance Ord Shs,138.55,138.75,131.1,136.6,14184,0
2022-08-08,D,Starteck Finance Ord Shs,138.05,139.75,133.2,136.0,13493,0
2022-08-10,D,Starteck Finance Ord Shs,136.45,139.95,130.9,135.7,2360,0
2022-08-11,D,Starteck Finance Ord Shs,135.95,162.0,131.1,153.6,13825,0
2022-08-12,D,Starteck Finance Ord Shs,157.0,157.0,138.95,140.8,17037,0
2022-08-16,D,Starteck Finance Ord Shs,141.0,146.0,138.1,142.2,14347,0
2022-08-17,D,Starteck Finance Ord Shs,141.45,146.65,138.0,143.65,12822,0
2022-08-18,D,Starteck Finance Ord Shs,139.05,146.4,137.0,139.15,12945,0
2022-08-19,D,Starteck Finance Ord Shs,140.9,140.9,135.0,138.15,18929,0
2022-08-22,D,Starteck Finance Ord Shs,141.05,142.1,130.55,137.15,12671,0
2022-08-23,D,Starteck Finance Ord Shs,141.05,149.0,133.3,144.6,13591,0
2022-08-24,D,Starteck Finance Ord Shs,144.9,144.9,138.15,140.4,13030,0
2022-08-25,D,Starteck Finance Ord Shs,139.0,143.55,137.15,140.05,16179,0
2022-08-26,D,Starteck Finance Ord Shs,138.65,144.65,137.05,140.1,13891,0
2022-08-29,D,Starteck Finance Ord Shs,149.8,149.8,135.95,141.25,20173,0
2022-08-30,D,Starteck Finance Ord Shs,143.9,143.9,139.1,142.65,15242,0
2022-09-01,D,Starteck Finance Ord Shs,139.3,143.95,138.3,140.25,16055,0
2022-09-02,D,Starteck Finance Ord Shs,144.6,144.6,138.4,139.8,11787,0
2022-09-05,D,Starteck Finance Ord Shs,136.9,146.7,136.9,142.45,14736,0
2022-09-06,D,Starteck Finance Ord Shs,143.4,143.4,136.95,140.8,13865,0
2022-09-07,D,Starteck Finance Ord Shs,137.0,143.1,136.15,141.55,16262,0
2022-09-08,D,Starteck Finance Ord Shs,144.9,144.9,138.0,139.45,13982,0
2022-09-09,D,Starteck Finance Ord Shs,144.05,144.05,136.95,137.85,14048,0
2022-09-12,D,Starteck Finance Ord Shs,136.95,150.0,135.1,138.55,14869,0
2022-09-13,D,Starteck Finance Ord Shs,139.1,141.9,135.0,137.4,15190,0
2022-09-14,D,Starteck Finance Ord Shs,136.9,144.85,135.25,141.65,19236,0
2022-09-15,D,Starteck Finance Ord Shs,138.75,141.9,137.1,140.35,12615,0
2022-09-16,D,Starteck Finance Ord Shs,141.9,146.05,136.5,139.05,13841,0
2022-09-19,D,Starteck Finance Ord Shs,136.6,147.05,136.1,138.05,13385,0
2022-09-20,D,Starteck Finance Ord Shs,142.9,142.9,125.5,135.65,12789,0
2022-09-21,D,Starteck Finance Ord Shs,145.0,145.0,125.6,135.85,1713,0
2022-09-22,D,Starteck Finance Ord Shs,133.3,139.9,132.05,138.8,13376,0
2022-09-23,D,Starteck Finance Ord Shs,142.05,142.95,134.85,138.85,11463,0
2022-09-26,D,Starteck Finance Ord Shs,141.9,141.9,133.0,138.15,10951,0
2022-09-27,D,Starteck Finance Ord Shs,133.8,138.55,130.95,134.25,11659,0
